game_id	attendance	team1	team2	tie	pk	stage	round	year	date	time	stadium	home	lat	long	referee	booked	url	place
1	25	USA	USA	FALSE	FALSE	FIRST ROUND	FALSE	1988_hesperia	27-05-1988 (16:00 h)	16:00	Stadio Nazionale del PNF (Roma)	Italy	34.4264	-117.3009	Rení€Œ© Mercet (SWI)		1934_ITALY_FS.htm	Hesperia_CA
1	25	USA	USA	FALSE	FALSE	FIRST ROUND	FALSE	1991	27-05-1991 (16:00 h)	17:00	Stadio Nazionale del PNF (Roma)	Italy	48.262169	-118.359053	Rení€Œ© Mercet (SWI)		1934_ITALY_FS.htm	Twin Lakes_ID
1	25	USA	USA	FALSE	FALSE	FIRST ROUND	FALSE	1993	27-05-1993 (16:00 h)	18:00	Stadio Nazionale del PNF (Roma)	Italy	48.1807	-116.9094	Rení€Œ© Mercet (SWI)		1934_ITALY_FS.htm	Preist River_ID
1	25	USA	USA	FALSE	FALSE	FIRST ROUND	FALSE	1995	27-05-1995 (16:00 h)	19:00	Stadio Nazionale del PNF (Roma)	Italy	48.741	-117.4172	Rení€Œ© Mercet (SWI)		1934_ITALY_FS.htm	Ione_WA
1	25	USA	USA	FALSE	FALSE	FIRST ROUND	FALSE	1997	27-05-1997 (16:00 h)	20:00	Stadio Nazionale del PNF (Roma)	Italy	48.0794	-123.1018	Rení€Œ© Mercet (SWI)		1934_ITALY_FS.htm	Sequim_WA
1	25	USA	USA	FALSE	FALSE	FIRST ROUND	FALSE	1999	27-05-1999 (16:00 h)	21:00	Stadio Nazionale del PNF (Roma)	Italy	48.741	-117.4172	Rení€Œ© Mercet (SWI)		1934_ITALY_FS.htm	Ione_WA
1	25	USA	USA	FALSE	FALSE	FIRST ROUND	FALSE	2001	27-05-2001 (16:00 h)	22:00	Stadio Nazionale del PNF (Roma)	Italy	34.5362	-117.2928	Rení€Œ© Mercet (SWI)		1934_ITALY_FS.htm	Victorville_CA
1	25	USA	USA	FALSE	FALSE	FIRST ROUND	FALSE	2003	27-05-2003 (16:00 h)	23:00	Stadio Nazionale del PNF (Roma)	Italy	34.434	-117.4347	Rení€Œ© Mercet (SWI)		1934_ITALY_FS.htm	Oak Hills_CA
1	25	USA	USA	FALSE	FALSE	FIRST ROUND	FALSE	2005	27-05-2005 (16:00 h)	0:00	Stadio Nazionale del PNF (Roma)	Italy	34.5008	-117.1859	Rení€Œ© Mercet (SWI)		1934_ITALY_FS.htm	Apple Valley_CA
1	25	USA	USA	FALSE	FALSE	FIRST ROUND	FALSE	2007	27-05-2007 (16:00 h)	1:00	Stadio Nazionale del PNF (Roma)	Italy	42.2968	-71.2924	Rení€Œ© Mercet (SWI)		1934_ITALY_FS.htm	Wellesley_MA
1	25	England	USA	FALSE	FALSE	FIRST ROUND	FALSE	2009	27-05-2009 (16:00 h)	2:00	Stadio Nazionale del PNF (Roma)	Italy	51.5074	-0.1278	Rení€Œ© Mercet (SWI)		1934_ITALY_FS.htm	"London, UK"
1	25	USA	USA	FALSE	FALSE	FIRST ROUND	FALSE	2010	27-05-2010 (16:00 h)	3:00	Stadio Nazionale del PNF (Roma)	Italy	42.2968	-71.2924	Rení€Œ© Mercet (SWI)		1934_ITALY_FS.htm	Wellesley_MA
1	25	USA	USA	FALSE	FALSE	FIRST ROUND	FALSE	2011	27-05-2011 (16:00 h)	4:00	Stadio Nazionale del PNF (Roma)	Italy	34.5008	-117.1859	Rení€Œ© Mercet (SWI)		1934_ITALY_FS.htm	Apple Valley_CA
1	25	USA	USA	FALSE	FALSE	FIRST ROUND	FALSE	2012	27-05-2012 (16:00 h)	5:00	Stadio Nazionale del PNF (Roma)	Italy	34.1361	-117.8653	Rení€Œ© Mercet (SWI)		1934_ITALY_FS.htm	Glendora_CA
1	25	USA	USA	FALSE	FALSE	FIRST ROUND	FALSE	2014	27-05-2014 (16:00 h)	6:00	Stadio Nazionale del PNF (Roma)	Italy	42.2808	-83.743	Rení€Œ© Mercet (SWI)		1934_ITALY_FS.htm	Ann Arbor_MI
1	25	USA	USA	FALSE	FALSE	FIRST ROUND	FALSE	2016	27-05-2016 (16:00 h)	7:00	Stadio Nazionale del PNF (Roma)	Italy	42.7325	-84.5555	Rení€Œ© Mercet (SWI)		1934_ITALY_FS.htm	Lansing_MI
1	25	USA	USA	FALSE	FALSE	FIRST ROUND	FALSE	2017	27-05-2017 (16:00 h)	8:00	Stadio Nazionale del PNF (Roma)	Italy	41.8781	-87.6298	Rení€Œ© Mercet (SWI)		1934_ITALY_FS.htm	Chicago_IL
